artist	name	year
Beyoncé ft. Jay-Z	Crazy In Love	2003
Shakira	Whenever, Wherever	2001
Robin S	Show Me Love	1993
Red Hot Chili Peppers	Under The Bridge	1991
Nirvana	Smells Like Teen Spirit	1991
Prince	Kiss	1986
Sister Sledge	We Are Family	1979
The Supremes	You Can't Hurry Love	1966
Gotye ft. Kimbra	Somebody That I Used To Know	2011
Gnarls Barkley	Crazy	2006
Dion	Runaround Sue	1961
Jacksons	Blame It On The Boogie	1978
Marvin Gaye	Let’s Get It On	1973
Wilson Pickett	Mustang Sally	1966
Nickelback	How You Remind Me	2001
Post Malone	Circles	2019
Bee Gees	Stayin’ Alive	1977
Etta James	At Last	1960
Elton John	Tiny Dancer	1971
Barry White	You’re The First, The Last, My Everything	1974
Doja Cat	Say So	2020
Kenny Loggins	Footloose	1984
Bon Jovi	Livin’ On A Prayer	1986
Elton John	Your Song	1970
Bon Jovi	It’s My Life	2000
James Taylor	How Sweet It Is (To Be Loved By You)	1975
Pharrell Williams	Happy	2013
Creedence Clearwater Revival	Proud Mary	1969
Guns N' Roses	Sweet Child O’ Mine	1987
Neil Diamond	Sweet Caroline	1969
Britney Spears	Toxic	2004
Garth Brooks	Friends In Low Places	1990
Queen	Bohemian Rhapsody	1975
Wild Cherry	Play That Funky Music	1976
Van Morrison	Crazy Love	1970
Lil Nas X	Old Town Road	2019
U2	Beautiful Day	2000
The Beatles	I Want To Hold Your Hand	1963
Nat King Cole	L-O-V-E	1965
Salt 'N Pepa	Push It	1986
Radiohead	Creep	1992
Oasis	Wonderwall	1995
Lady Gaga	Bad Romance	2009
Queen	Don’t Stop Me Now	1979
Proclaimers	I'm Gonna Be (500 Miles)	1988
Frankie Valli	Can't Take My Eyes Off You	1967
Four Tops	I Can't Help Myself	1965
Lynyrd Skynyrd	Sweet Home Alabama	1974
Frank Sinatra	My Way	1969
Van Morrison	Brown Eyed Girl	1967
Goo Goo Dolls	Iris	1998
Montell Jordan	This Is How We Do It	1995
Village People	Y.M.C.A.	1978
Blackstreet	No Diggity	1996
Beach Boys	Good Vibrations	1966
Foundations	Build Me Up Buttercup	1968
Alicia Keys	Fallin’	2001
Adele	Rolling In The Deep	2010
Whitney Houston	I Wanna Dance With Somebody	1987
Ed Sheeran	Shape Of You	2017
Def Leppard	Pour Some Sugar On Me	1987
Gloria Gaynor	I Will Survive	1978
Journey	Don’t Stop Believin’	1981
Vanilla Ice	Ice Ice Baby	1990
K.C. and the Sunshine Band	Get Down Tonight	1975
Dexys Midnight Runners	Come On Eileen	1982
The Beatles	I Saw Her Standing There	1963
Eric Clapton	Wonderful Tonight	1977
King Harvest	Dancing In The Moonlight	1972
Frank Sinatra	Fly Me To The Moon	1964
M.C. Hammer	U Can't Touch This	1990
Bob Seger	Old Time Rock N Roll	1981
R.E.M.	Losing My Religion	1991
Flo Rida	Whistle	2012
Stevie Wonder	Signed, Sealed, Delivered (I'm Yours)	1970
BTS	Dynamite	2020
Coldplay	Clocks	2002
House Of Pain	Jump Around	1992
Guns N' Roses	Sweet Child O' Mine	1987
The Weeknd	Blinding Lights	2019
Jackson 5	ABC	1970
Chubby Checker	Let's Twist Again	1961
Kool & The Gang	Celebration	1980
Percy Sledge	When A Man Loves A Woman	1966
The Killers	Mr. Brightside	2004
Stevie Wonder	Superstition	1972
Johnny Cash	Ring Of Fire	1963
Imagine Dragons	Radioactive	2012
Olivia Rodrigo	Drivers License	2021
Mark Ronson ft. Bruno Mars	Uptown Funk	2014
Spice Girls	Wannabe	1996
Stevie Wonder	For Once In My Life	1968
Commodores	Brick House	1977
Billy Joel	Piano Man	1973
Eagles	Hotel California	1976
Backstreet Boys	Everybody (Backstreet's Back)	1997
Patsy Cline	Crazy	1961
Al Green	Let’s Stay Together	1971
Linkin Park	In The End	2000
Usher	Yeah!	2004
Britney Spears	Oops!… I Did It Again	2000
Aretha Franklin	Respect	1967
Billie Eilish	Bad Guy	2019
Deee-Lite	Groove Is In The Heart	1990
Earth, Wind & Fire	September	1978
Wilson Phillips	Hold On	1990
Louis Armstrong	What A Wonderful World	1967
ABBA	Dancing Queen	1976
Harry Styles	As It Was	2022
Michael Jackson	Billie Jean	1982
Daft Punk ft. Pharrell	Get Lucky	2013
Righteous Brothers	Unchained Melody	1965
James Blunt	You’re Beautiful	2004
Tommy James and the Shondells	Mony Mony	1968
Rednex	Cotton Eye Joe	1994
B-52's	Love Shack	1989
Cyndi Lauper	Girls Just Want To Have Fun	1983
Elvis Presley	Can't Help Falling In Love	1961
Katy Perry	Firework	2010
Los Del Rio	Macarena	1995
Dua Lipa	Levitating	2020
Glass Animals	Heat Waves	2020
Queen	Crazy Little Thing Called Love	1980
Whitney Houston	I Wanna Dance With Somebody (Who Loves Me)	1987
Chubby Checker	The Twist	1960
Michael Jackson	Don’t Stop ‘Til You Get Enough	1979
Alanis Morissette	Ironic	1995
Maroon 5	Sugar	2015
Bryan Adams	Summer Of '69	1984
Frank Sinatra	New York, New York	1977
AC/DC	You Shook Me All Night Long	1980
The Temptations	My Girl	1964
A-ha	Take On Me	1985
Eminem	Lose Yourself	2002
Sir Mix-A-Lot	Baby Got Back	1992
James Brown	I Got You (I Feel Good)	1965
Jackson 5	I Want You Back	1970
Contours	Do You Love Me	1962
OutKast	Hey Ya!	2003
Rick Springfield	Jessie’s Girl	1981
